dataset,10,30,50,70,90,samples,% class,classifier
lucene,0.66,0.92,0.96,0.98,1,782,56,Dodge
synapse,0.55,0.65,0.82,0.9,0.99,635,25.5,Dodge
jedit,0.33,0.46,0.66,0.83,0.98,1749,17.3,FFT
xerces,0.78,0.92,0.96,0.98,1,1481,39,Dodge
xalan,0.51,0.91,0.96,0.99,1,3320,54.4,FFT
poi,0.54,0.91,0.95,0.96,0.99,1378,51.3,Dodge
velocity,0.9,0.95,0.98,0.98,1,639,57.4,Dodge
camel,0.16,0.63,0.73,0.79,0.95,2784,20.2,Dodge
ivy,0.35,0.54,0.66,0.75,0.88,704,16.9,Dodge
log4j,0.66,0.82,0.98,1,1,449,57.9,FFT
longmethod,0.96,0.99,0.99,0.99,0.99,109,43.1,Dodge
dataclass,0.98,0.98,0.98,0.98,0.98,119,42,Dodge
godclass,0.09,0.43,0.62,0.84,0.98,139,43.9,Dodge
featureenvy,0.12,0.53,0.94,0.99,0.99,109,45,Dodge
1 day_node,0.52,0.83,0.94,0.98,1,6207,39.1,Dodge
1 day_qpid,0.13,0.19,0.24,0.32,0.56,5475,3.7,Dodge
1 day_cloudstack,0.61,0.83,0.94,0.96,0.99,1551,42.4,RF
1 day_deeplearning,0.24,0.68,0.88,0.94,0.99,1434,64.9,RF
1 day_camel,0.09,0.33,0.62,0.88,0.99,5056,13.8,Dodge
1 day_cocoon,0,0.19,0.33,0.62,0.76,2045,6.1,Dodge
1 day_hadoop,0.01,0.02,0.03,0.12,0.74,12191,0.3,FFT
1 day_hive,0.01,0.03,0.03,0.03,0.59,5648,0.3,Dodge
1 day_ofbiz,0.47,0.71,0.78,0.82,0.93,6177,24.5,Dodge
7 days_node,0.72,0.77,0.85,0.92,0.99,6207,29,Dodge
7 days_qpid,0.16,0.18,0.22,0.31,0.62,5475,3.4,Dodge
7 days_cloudstack,0.47,0.66,0.87,0.9,0.92,1551,29.5,Dodge
7 days_deeplearning,0.38,0.61,0.61,0.61,0.74,1434,14.9,Dodge
7 days_camel,0.09,0.21,0.41,0.6,0.86,5056,8.6,Dodge
7 days_cocoon,0,0.08,0.26,0.48,0.64,2045,4.5,Dodge
7 days_hadoop,0.02,0.04,0.1,0.23,0.98,12191,0.5,Dodge
7 days_hive,0,0.03,0.04,0.06,0.54,5648,0.4,Dodge
7 days_ofbiz,0.55,0.69,0.7,0.71,0.96,6177,18.9,Dodge
90 days_node,0.02,0.22,0.43,0.47,0.52,6207,8.9,Dodge
90 days_qpid,0.14,0.3,0.48,0.7,0.97,5475,10.2,Dodge
90 days_cloudstack,0.15,0.21,0.42,0.56,0.63,1551,8.6,Dodge
90 days_deeplearning,0.09,0.27,0.28,0.28,0.44,1434,4.8,Dodge
90 days_camel,0,0.15,0.32,0.62,0.91,5056,5.9,Dodge
90 days_cocoon,0.01,0.14,0.25,0.49,0.57,2045,4.2,Dodge
90 days_hadoop,0.06,0.35,0.6,0.84,0.99,12191,14.3,Dodge
90 days_hive,0,0.22,0.53,0.73,0.97,5648,18.6,Dodge
90 days_ofbiz,0,0.39,0.45,0.52,0.62,6177,9.3,Dodge
optdigits,0.31,0.65,0.87,0.97,1,1142,50.1,RF
satellite,0.17,0.54,0.69,0.89,0.99,2158,29,RF
climate-sim,0.2,0.41,0.41,0.41,0.62,539,91.7,SVM
credit-approval,0.75,0.87,0.93,0.97,1,652,45.2,Dodge
cancer,0.07,0.39,0.66,0.9,0.98,568,37.1,SVM
shop-intention,0.27,0.48,0.59,0.73,0.8,12329,15.5,RF
image,0,0.04,0.56,0.75,0.96,659,50.1,RF
covtype,0,0.35,0.73,0.79,0.96,12239,22.4,RF
hand,0.19,0.64,0.84,0.95,0.99,29875,47.5,RF
drug-consumption,0.5,0.65,0.77,0.89,0.95,1884,22.8,Dodge
biodegrade,0.3,0.65,0.87,0.95,0.99,1054,33.7,RF
adult,0,0.14,0.54,0.8,0.95,45221,24.8,RF
crowdsource,0.26,0.56,0.73,0.91,0.99,1886,23.6,RF
blood-transfusion,0.56,0.61,0.79,0.9,0.92,747,23.7,Dodge
credit-default,0.53,0.69,0.76,0.8,0.94,29999,22.1,SVM
cervical-cancer,0.36,0.36,0.36,0.36,0.36,667,6.7,Dodge
autism,0.29,0.66,0.88,0.88,0.98,608,29.6,RF
bank,0.29,0.47,0.53,0.92,0.99,3089,12,SVM
bankrupt,0.07,0.13,0.17,0.27,0.41,4768,2.5,Dodge
audit,0,0.19,0.61,0.86,0.96,774,39.3,RF
contraceptive,0.9,0.94,0.97,0.98,0.98,1472,57.3,SVM
mushroom,0,0,0.55,0.86,0.96,5643,38.2,RF
pendigits,0.04,0.19,0.67,0.84,0.98,2287,50,RF
phishing,0.56,0.97,0.99,0.99,1,11054,55.7,RF
car,0.7,0.81,0.88,0.93,0.99,1727,30,RF
diabetic,0.6,0.83,0.99,1,1,1150,53.1,SVM
hepmass,0.36,0.82,0.95,1,1,1999,50,RF
htru2,0.06,0.18,0.44,0.77,0.99,17897,9.2,SVM
kddcup,0,0.07,0.53,0.85,0.91,3202,68.8,RF
sensorless-drive,0,0.18,0.79,0.97,1,10637,50,RF
waveform,0.1,0.58,0.84,0.96,1,3303,49.8,SVM
annealing,0,0.03,0.53,0.58,0.85,715,12.7,RF
cardiotocography,0.09,0.53,0.73,0.84,0.99,2125,22.1,RF
shuttle,0,0.37,0.56,0.75,0.97,54488,16.3,RF
electric-stable,0.81,0.91,0.94,0.97,1,9999,36.2,RF
gamma,0.34,0.79,0.87,0.95,0.99,19019,35.2,RF
liver,0.44,0.64,0.86,0.94,0.97,578,71.5,Dodge
